행정구역(시군구)별(1),행정구역(시군구)별(2),총인구수 (명),남자인구수 (명),여자인구수 (명)
강원특별자치도,횡성군,46355,23831,22524
강원특별자치도,영월군,37160,19219,17941
강원특별자치도,평창군,40537,21000,19537
강원특별자치도,정선군,33950,17714,16236
강원특별자치도,철원군,41063,21235,19828
강원특별자치도,화천군,22821,12220,10601
강원특별자치도,양구군,20945,10972,9973
강원특별자치도,인제군,31768,17283,14485
강원특별자치도,고성군,27221,13964,13257
강원특별자치도,양양군,27608,14137,13471
충청북도,소계,1590854,809485,781369
충청북도,청주시,851790,430322,421468
충청북도,서원구,185077,92194,92883
충청북도,청원구,189917,97796,92121
충청북도,상당구,200035,99352,100683
충청북도,흥덕구,276761,140980,135781
충청북도,충주시,207568,105398,102170
충청북도,제천시,129900,65384,64516
충청북도,보은군,30826,15611,15215
충청북도,옥천군,48673,24593,24080
충청북도,영동군,43909,22064,21845
충청북도,증평군,37387,19486,17901
충청북도,진천군,86626,45812,40814
충청북도,괴산군,36264,18755,17509
충청북도,음성군,90283,47989,42294
충청북도,단양군,27628,14071,13557
충청남도,소계,2133828,1094336,1039492
충청남도,당진시,170279,91150,79129
충청남도,천안시,657633,337234,320399
충청남도,동남구,260094,131827,128267
충청남도,서북구,397539,205407,192132
충청남도,공주시,102098,50903,51195
충청남도,보령시,94887,48074,46813
충청남도,아산시,350535,182823,167712
충청남도,서산시,175646,92021,83625
충청남도,논산시,109766,54917,54849
충청남도,계룡시,46712,23331,23381
충청남도,금산군,50069,25388,24681
충청남도,부여군,60408,30086,30322
충청남도,서천군,48846,24158,24688
충청남도,청양군,29971,15356,14615
충청남도,홍성군,98317,49072,49245
충청남도,예산군,78183,39229,38954
충청남도,태안군,60478,30594,29884
전북특별자치도,소계,1748047,870133,877914
전북특별자치도,전주시,640120,314309,325811
전북특별자치도,완산구,325282,157913,167369
전북특별자치도,덕진구,314838,156396,158442
전북특별자치도,군산시,258841,131198,127643
전북특별자치도,익산시,268488,133658,134830
전북특별자치도,정읍시,103079,51395,51684
전북특별자치도,남원시,76233,37381,38852
전북특별자치도,김제시,81185,40583,40602
전북특별자치도,완주군,98770,50625,48145
전북특별자치도,진안군,24496,12489,12007
전북특별자치도,무주군,23160,11582,11578
전북특별자치도,장수군,20833,10464,10369
전북특별자치도,임실군,25815,13320,12495
전북특별자치도,순창군,26804,13162,13642
전북특별자치도,고창군,51489,25688,25801
전북특별자치도,부안군,48734,24279,24455
전라남도,소계,1797199,906512,890687
전라남도,목포시,213172,105918,107254
전라남도,여수시,270634,137872,132762
전라남도,순천시,277342,138512,138830
전라남도,나주시,117043,59125,57918
전라남도,광양시,152770,80033,72737
전라남도,담양군,45007,22778,22229
전라남도,곡성군,26769,13286,13483
전라남도,구례군,24165,11809,12356
전라남도,고흥군,60832,29803,31029
전라남도,보성군,37483,18355,19128
전라남도,화순군,60946,30186,30760
전라남도,장흥군,34729,17002,17727
전라남도,강진군,32587,15922,16665
전라남도,해남군,64016,32037,31979
전라남도,영암군,52050,27257,24793
전라남도,무안군,90156,45359,44797
전라남도,함평군,30393,15433,14960
전라남도,영광군,51492,25758,25734
전라남도,장성군,42389,21774,20615
전라남도,완도군,46226,23335,22891
전라남도,진도군,28807,14358,14449
전라남도,신안군,38191,20600,17591
경상북도,소계,2546120,1287249,1258871
경상북도,포항시,492574,250201,242373
경상북도,남구,224378,116623,107755
경상북도,북구,268196,133578,134618
경상북도,경주시,246081,123248,122833
경상북도,김천시,136658,68708,67950
경상북도,안동시,152981,75663,77318
경상북도,구미시,404966,209032,195934
경상북도,영주시,99960,49652,50308
경상북도,영천시,100146,51208,48938
경상북도,상주시,93212,45907,47305
경상북도,문경시,68205,33484,34721
경상북도,경산시,266169,133830,132339
경상북도,의성군,49588,24650,24938
경상북도,청송군,23935,12010,11925
경상북도,영양군,15517,7747,7770
경상북도,영덕군,33711,16113,17598
경상북도,청도군,41140,20413,20727
경상북도,고령군,30190,15549,14641
경상북도,성주군,41936,21918,20018
경상북도,칠곡군,109234,57315,51919
경상북도,예천군,55090,27115,27975
경상북도,봉화군,29393,14982,14411
경상북도,울진군,46339,23424,22915
경상북도,울릉군,9095,5080,4015
경상남도,소계,3239224,1631669,1607555
경상남도,창원시,1004693,508579,496114
경상남도,의창구,212105,107913,104192
경상남도,성산구,243411,124185,119226
경상남도,마산합포구,179218,88992,90226
경상남도,마산회원구,180072,89809,90263
경상남도,진해구,189887,97680,92207
경상남도,진주시,339883,167871,172012
경상남도,통영시,119591,60048,59543
경상남도,사천시,108979,55166,53813
경상남도,사천남양출장소,0,0,0
경상남도,김해시,532510,269263,263247
경상남도,장유출장소,0,0,0
경상남도,밀양시,101535,50162,51373
경상남도,거제시,233103,122029,111074
경상남도,양산시,355560,177915,177645
경상남도,양산시웅상출장소,0,0,0
경상남도,의령군,25354,12647,12707
경상남도,함안군,59625,30556,29069
경상남도,창녕군,56722,28394,28328
경상남도,고성군,48929,24746,24183
경상남도,남해군,40391,19663,20728
경상남도,하동군,41300,20628,20672
경상남도,산청군,33598,16656,16942
경상남도,함양군,36601,17792,18809
경상남도,거창군,59971,29525,30446
경상남도,합천군,40879,20029,20850
제주특별자치도,소계,672775,336674,336101
제주특별자치도,제주시,489780,244552,245228
제주특별자치도,서귀포시,182995,92122,90873
